Bedrooms,Bathrooms,Price,Year_built,Address,City,State
4,4.5,1365000,2006,5442  GRANNY WHITE PIKE, BRENTWOOD, TN
3,3,300000,1987,5608  HEARTHSTONE LN, BRENTWOOD, TN
3,4.5,566920,1968,1706  OLD HICKORY BLVD, BRENTWOOD, TN
5,5,650000,1977,1428  OLD HICKORY BLVD, BRENTWOOD, TN
4,4,456500,1974,1235  CARL SEYFERT MEMORIAL DR, BRENTWOOD, TN
4,3,380500,1987,6032  MANOR PL, BRENTWOOD, TN
4,2,318150,1978,5620  CLOVERMEADE DR, BRENTWOOD, TN
3,2,306250,1976,700  CLOVERBROOK CT, BRENTWOOD, TN
4,3.5,579500,1966,6308  WILDWOOD VALLEY DR, BRENTWOOD, TN
4,3.5,110000,2013,5551  HILLVIEW DR, BRENTWOOD, TN
4,3,329000,1989,5617  TROUSDALE DR, BRENTWOOD, TN
3,2,325000,1983,900  FIRESIDE CT, BRENTWOOD, TN
3,2.5,349900,1978,5508  GRANBERRY HEIGHTS DR, BRENTWOOD, TN
4,3,360000,1982,616  SPRING HOUSE CT, BRENTWOOD, TN
3,3,324000,1987,421  MANOR VIEW LN, BRENTWOOD, TN
4,3,575000,1972,1427  OLD HICKORY BLVD, BRENTWOOD, TN
5,4,772500,2006,5324  LANCELOT RD, BRENTWOOD, TN
4,2.5,465000,1981,5547  HILLVIEW DR, BRENTWOOD, TN
3,3,329900,1983,5509  TROUSDALE DR, BRENTWOOD, TN
3,3,331000,1992,5540  HILL RD, BRENTWOOD, TN
4,3,323000,1982,5704  HEARTHSTONE LN, BRENTWOOD, TN
3,2.5,354000,1986,5732  SPRING HOUSE WAY, BRENTWOOD, TN
4,3,320000,1984,5820  FIRESIDE DR, BRENTWOOD, TN
4,2.5,500000,1973,1421  OLD HICKORY BLVD, BRENTWOOD, TN
5,4.5,305000,2014,1128  OMAN DR, BRENTWOOD, TN
3,2.5,380000,1987,5945  FIRESIDE DR, BRENTWOOD, TN
5,6,1360000,2007,6  AGINCOURT WAY, BRENTWOOD, TN
3,4.5,750000,1971,1220  TAGGARTWOOD RD, BRENTWOOD, TN
3,3,475000,1987,5933  FIRESIDE DR, BRENTWOOD, TN
4,3,370500,1987,1117  SEVEN SPRINGS CT, BRENTWOOD, TN
4,3,326500,1987,5817  HEARTHSTONE LN, BRENTWOOD, TN
5,5.5,685000,2003,1275  OLD HICKORY BLVD, BRENTWOOD, TN
4,2,525000,1928,756  HILL RD, BRENTWOOD, TN
3,2,294000,1983,617  SPRING HOUSE CT, BRENTWOOD, TN
3,2,259000,1977,5500  THALMAN DR, BRENTWOOD, TN
3,2,312000,1976,5512  GRANBERRY HEIGHTS DR, BRENTWOOD, TN
4,3,365000,1980,501  GREEN APPLE TURN, BRENTWOOD, TN
5,3.5,463000,1971,1935  OLD HICKORY BLVD, BRENTWOOD, TN
4,3.5,566906,2013,5551  HILLVIEW DR, BRENTWOOD, TN
4,5,546000,1977,5556  HILLVIEW DR, BRENTWOOD, TN
4,3,320000,1987,5937  FIRESIDE DR, BRENTWOOD, TN
3,3,235000,1987,1104  SEVEN SPRINGS CT, BRENTWOOD, TN
5,4,470000,1971,5630  HILLVIEW DR, BRENTWOOD, TN
3,4,290000,1984,639  HILL RD, BRENTWOOD, TN
3,4,650000,1958,1550  OLD HICKORY BLVD, BRENTWOOD, TN
3,4,458000,1987,5416  HEATHER LN, BRENTWOOD, TN
4,3,383900,1982,500  HEARTHSTONE CIR, BRENTWOOD, TN
5,4.5,550500,1986,708  HEATHER SPG, BRENTWOOD, TN
3,3,318000,1985,5721  HEARTHSTONE LN, BRENTWOOD, TN
3,2.5,270000,1987,5836  CLOVERLAND DR, BRENTWOOD, TN
4,5.5,230000,2015,2  AGINCOURT WAY, BRENTWOOD, TN
4,3,359900,1984,5564  TROUSDALE DR, BRENTWOOD, TN
3,2.5,354900,1987,5705  SPRING HOUSE WAY, BRENTWOOD, TN
3,2,373000,2002,6505  TURNBERRY WAY, BRENTWOOD, TN
5,5.5,1300000,2007,121  BALLEROY DR, BRENTWOOD, TN
5,3.5,715000,1968,5316  LANCELOT RD, BRENTWOOD, TN
6,4.5,365000,2015,765  HILL RD, BRENTWOOD, TN
0,0,365000,2016,775  HILL RD, BRENTWOOD, TN
4,3,344000,1988,1009  THYME CT, BRENTWOOD, TN
3,2,181000,1983,5621  KRISTIN LN, BRENTWOOD, TN
3,3,349977,1978,5511  WAKEFIELD DR, BRENTWOOD, TN
4,3.5,607000,1968,5416  GRANNY WHITE PIKE, BRENTWOOD, TN
3,4,650000,1978,1209  CLIFTEE DR, BRENTWOOD, TN
3,3,425000,1950,736  HILL RD, BRENTWOOD, TN
4,4,410000,1983,5812  FIRESIDE DR, BRENTWOOD, TN
2,1.5,139000,1986,5604  HICKORY MEADOWS CT, BRENTWOOD, TN
4,3.5,535000,1967,5309  CAMELOT CT, BRENTWOOD, TN
4,4,420000,1974,838  N HILLVIEW CT, BRENTWOOD, TN
5,5.5,1125000,2003,1148  RADNOR GLEN DR, BRENTWOOD, TN
3,2,310000,1976,5523  WAKEFIELD DR, BRENTWOOD, TN
3,2.5,272000,1986,5636  OAKES DR, BRENTWOOD, TN
3,3,369900,1993,5556  HILL RD, BRENTWOOD, TN
4,2.5,452500,1965,5606  GRANNY WHITE PIKE, BRENTWOOD, TN
4,3.5,672000,1995,92  HIGH LEA DR, BRENTWOOD, TN
5,6,1025000,2005,10  AGINCOURT WAY, BRENTWOOD, TN
5,4.5,550000,1971,1240  CLIFTEE DR, BRENTWOOD, TN
4,3,411500,1987,921  FIRESIDE CT, BRENTWOOD, TN
2,3,275000,1985,1243  OLD HICKORY BLVD, BRENTWOOD, TN
3,3,445000,1987,5809  HEARTHSTONE LN, BRENTWOOD, TN
2,2.5,142900,1986,5735  BRENTWOOD MEADOWS CIR, BRENTWOOD, TN
3,2,250000,1984,5672  OAKES DR, BRENTWOOD, TN
4,3.5,415000,1973,5717  CLOVERWOOD DR, BRENTWOOD, TN
4,3,730000,1971,1226  CARL SEYFERT MEMORIAL DR, BRENTWOOD, TN
5,3.5,820000,2000,1108  RADNOR GLEN DR, BRENTWOOD, TN
4,4.5,965000,2005,1140  RADNOR GLEN DR, BRENTWOOD, TN
4,3,575000,1977,5520  HILLVIEW DR, BRENTWOOD, TN
2,2,275000,1985,1245  OLD HICKORY BLVD, BRENTWOOD, TN
2,3,323500,1935,5622  VALLEY VIEW RD, BRENTWOOD, TN
2,1,450000,1950,5350  GRANNY WHITE PIKE, BRENTWOOD, TN
4,3,475000,1969,1241  JEFFERSON DAVIS CT, BRENTWOOD, TN
3,2.5,338000,1968,1950  OLD HICKORY BLVD, BRENTWOOD, TN
5,4,425000,1967,6304  WILDWOOD VALLEY DR, BRENTWOOD, TN
5,5,1550000,2005,9  AGINCOURT WAY, BRENTWOOD, TN
3,2,214000,1988,5528  THALMAN DR, BRENTWOOD, TN
4,3,444250,1985,5640  CLOVERMEADE DR, BRENTWOOD, TN
5,7,1750000,2006,100  BALLEROY DR, BRENTWOOD, TN
2,2.5,159900,1986,5715  BRENTWOOD MEADOWS CIR, BRENTWOOD, TN
4,2.5,392000,2001,6509  TURNBERRY WAY, BRENTWOOD, TN
5,3,641000,1930,808  HILL RD, BRENTWOOD, TN
3,2,334900,1988,1101  NUTMEG CT, BRENTWOOD, TN
3,3,337500,1987,6000  MANOR PL, BRENTWOOD, TN
4,3,360000,1987,5949  FIRESIDE DR, BRENTWOOD, TN
2,2.5,162000,1986,5722  BRENTWOOD MEADOWS CIR, BRENTWOOD, TN
3,5,520000,1978,841  W HILLVIEW DR, BRENTWOOD, TN
3,2.5,460000,1984,5524  CHERRYWOOD DR, BRENTWOOD, TN
3,2,435000,1983,900  FIRESIDE CT, BRENTWOOD, TN
4,2,429000,1959,1140  OMAN DR, BRENTWOOD, TN
4,4,681000,1968,5404  CAMELOT RD, BRENTWOOD, TN
3,1.5,310275,1963,5180  FRANKLIN PIKE CIR, BRENTWOOD, TN
4,3,365000,1988,1009  THYME CT, BRENTWOOD, TN
3,3,335000,1987,5708  HEARTHSTONE LN, BRENTWOOD, TN
3,2,319000,1978,5613  CLOVERMEADE DR, BRENTWOOD, TN
3,2.5,450000,1966,1920  SHAMROCK DR, BRENTWOOD, TN
5,4,945000,1899,1280  OLD HICKORY BLVD, BRENTWOOD, TN
4,3.5,642500,1973,5467  GRANNY WHITE PIKE, BRENTWOOD, TN
4,3,486000,1977,5516  HILLVIEW DR, BRENTWOOD, TN
4,2.5,487500,1955,720  BAXTER LN, BRENTWOOD, TN
3,2,264900,1984,5640  OAKES DR, BRENTWOOD, TN
4,3,387500,1987,5817  HEARTHSTONE LN, BRENTWOOD, TN
3,1.5,193500,1986,5533  THALMAN DR, BRENTWOOD, TN
4,3.5,589500,1977,1753  OLD HICKORY BLVD, BRENTWOOD, TN
5,5,410000,2016,1222  OLD HICKORY BLVD, BRENTWOOD, TN
4,5,850000,1964,1308  OLD HICKORY BLVD, BRENTWOOD, TN
4,4.5,1370000,2004,1129  RADNOR GLEN DR, BRENTWOOD, TN
5,6.5,1370000,2001,113  WOODWARD HILLS PL, BRENTWOOD, TN
3,4,310000,1984,643  HILL RD, BRENTWOOD, TN
4,3,385000,1985,5912  FIRESIDE DR, BRENTWOOD, TN
3,4.5,267000,2016,1511  OLD HICKORY BLVD, BRENTWOOD, TN
3,3,435000,1985,5413  HEATHER LN, BRENTWOOD, TN
3,3,417100,1985,409  MANOR VIEW LN, BRENTWOOD, TN
5,4,575000,1982,641  HILL RD, BRENTWOOD, TN
4,3,347000,1983,5800  HEARTHSTONE LN, BRENTWOOD, TN
3,4,419700,1985,916  FIRESIDE CT, BRENTWOOD, TN
2,2.5,158550,1986,5605  HICKORY MEADOWS CT, BRENTWOOD, TN
2,2.5,174900,1986,5607  HICKORY MEADOWS CT, BRENTWOOD, TN
6,6,1250000,2005,111  BALLEROY DR, BRENTWOOD, TN
4,4,457750,1956,711  BAXTER LN, BRENTWOOD, TN
3,3,422000,1987,404  MANOR VIEW LN, BRENTWOOD, TN
3,1.5,239900,1986,5535  THALMAN DR, BRENTWOOD, TN
4,2.5,397000,1998,5656  CLOVERMEADE DR, BRENTWOOD, TN
4,3.5,635000,1967,5318  CAMELOT CT, BRENTWOOD, TN
3,4,825900,1984,822  E HILLVIEW DR, BRENTWOOD, TN
